DateTime,Storage_m3,Q_out_m3d,Q_in_m3d
10/12/2009,881561988.6,7559913.6,9399767.712
10/13/2009,883262266.8,7535376,9229363.725
10/14/2009,885975071.7,7584364.8,10291324.31
10/15/2009,887544527,7608816,9183392.571
10/16/2009,889402912.6,7584364.8,9443536.948
10/17/2009,891125159,7559913.6,9285732.826
10/18/2009,891840737.8,7559913.6,8279309.509
10/19/2009,894143793,7510924.8,9801568.814
10/20/2009,895586199.8,7559913.6,9004621.295
10/21/2009,897030826.9,7535376,8977806.827
10/22/2009,897892030.3,7559913.6,8426715.686
10/23/2009,899630780.7,7559913.6,9294589.429
10/24/2009,902245215.6,6287673.6,8911700.356
10/25/2009,904568240.8,6238771.2,8540652.709
10/26/2009,907054628.1,6263222.4,8747853.192
10/27/2009,908803160,6263222.4,8003604.911
10/28/2009,911151089.2,6312124.8,8657794.746
10/29/2009,912915508.4,6312124.8,8078372.26
10/30/2009,914977652.5,6312124.8,8367679.818
10/31/2009,917038341.2,6287673.6,8348376.337
11/1/2009,919254127.7,6165331.2,8372254.914
11/2/2009,922817811.8,4110220.8,7969426.251
11/3/2009,926395286.2,4110220.8,7982588.827
11/4/2009,929679352.7,4159123.2,7751607.63
11/5/2009,932828575.1,4183660.8,7634245.401
11/6/2009,936289646,4208112,7958685.784
11/7/2009,939617032.3,4183660.8,7808710.703
11/8/2009,943103315.5,4183660.8,7967591.319
11/9/2009,946446589,4183660.8,7823952.869
11/10/2009,949940421.1,4159123.2,7941388.495
11/11/2009,952934385.5,4110220.8,7408132.889
11/12/2009,956540377.9,4110220.8,8019776.775
11/13/2009,959400201.3,4159123.2,7323310.115
11/14/2009,962269744.5,4183660.8,7344986.774
11/15/2009,965146762.6,4208112,7387899.709
11/16/2009,967728436.2,4134672,7026931.953
11/17/2009,970779449,4110220.8,7460709.797
11/18/2009,973069552.6,4110220.8,6700460.912
11/19/2009,976128817.4,4183660.8,7554462.572
11/20/2009,979055865.4,4134672,7358663.131
11/21/2009,982134014.8,4110220.8,7482875.772
11/22/2009,984920063.7,4134672,7225814.079
11/23/2009,987864836.9,4159123.2,7402774.888
11/24/2009,990507259.4,4183660.8,7114690.618
11/25/2009,993156774.4,4159123.2,7097197.603
11/26/2009,995660282.4,4159123.2,6964935.729
11/27/2009,998170179.9,4159123.2,6964960.195
11/28/2009,1000993998,4159123.2,7287296.523
11/29/2009,1003355347,4183660.8,6828906.128
11/30/2009,1006046949,4110220.8,7098371.959
12/1/2009,1008257505,4134672,6657719.238
12/2/2009,1010481778,4208112,6740633.683
12/3/2009,1011909531,4208112,5948065.535
12/4/2009,1013184715,4232563.2,5820207.497
12/5/2009,1015098768,4159123.2,6375359.954
12/6/2009,1017017594,4134672,6340251.595
12/7/2009,1018618959,4159123.2,6052607.708
12/8/2009,1020216168,4159123.2,6050870.639
12/9/2009,1021987593,4183660.8,6243195.943
